SegmentID,PH-Value,L/m,PSI Level,Water Temperature
57a63f0e-7c18-487b-99d1-5be36bdaf0a5,6.96,36.3,45,10
57954d55-957a-4144-bce1-b582417f7bd3,7.96,4700.0,100,10
9be18c15-ee70-4de6-999b-b4d6f487dd9c,6.92,31.0,43,10
8317d426-99fb-4175-9d9c-7b2c015d5762,8.03,4700.0,100,10
381ba406-9841-4c7e-85d7-59180f19b14a,6.76,36.3,45,10
b38c419d-0f19-4975-8d7a-d3ff8a77ecbd,6.63,4700.0,100,10
e119faae-ae74-4da6-9e26-8c826a383c58,8.29,23.9,40,10
a8414705-99ee-4986-b13d-16a8a7b302ab,7.3,4700.0,100,10
70f14523-2812-475a-b7fd-a007d034faa8,7.36,31.0,43,10
e40eab09-15ae-4676-8833-7b61a8a4d3cf,6.95,4700.0,100,10
a94f0132-e853-46d9-950f-b6e9f23c47bd,6.7,36.3,45,10
263bcf69-70c8-4f21-80fb-6696028fdd93,7.45,4700.0,100,10
2f073333-58b0-4b36-a87a-865fd3a1e08e,7.56,23.9,40,10
8c19f633-82df-4936-a459-967d5adc182b,6.88,4700.0,100,10
9b65d0a4-6c84-4068-93a8-a089ea840479,6.78,36.3,45,10
925f3da7-0a80-424e-b19d-d0582a0902ee,7.07,4700.0,100,10
84d3ecd4-3779-4682-951d-9718a871596e,8.29,31.0,43,10
c4a2b44a-8ae6-4ce6-a513-82f0fee27920,6.8,4700.0,100,10
67cf1375-2ce6-469a-b1ab-4476386043a4,7.13,36.3,45,10
e35fc813-63e0-471d-94c5-341fc62c6faf,6.78,4700.0,100,10
